fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
-0.499804162,1.500631965,-1.272610907,0.507537891,0.141507882,-0.836294497,-0.97103298,0.56198322,1.17250017,-0.774111945,-0.173964163,3
-0.898793233,0.472013939,-1.071044581,-0.374933821,0.067007952,-0.627993029,-0.159577825,1.03200697,2.26395103,0.37663372,-0.978611128,5
-0.196437258,2.240264294,-1.299703606,2.04296887,0.525809006,-0.864292472,-0.958123159,0.95033952,1.223672921,-1.156271354,0.18419964,3
-1.685872932,0.246812333,-1.222445595,-1.322405084,0.065816817,-0.83613861,-0.91309589,-0.812007234,2.131117734,-0.291714244,-0.536881353,4
-0.777494564,0.113302064,-1.272610907,-0.058557612,0.189441716,1.038418709,2.13882428,0.49523262,1.41701398,-0.959173606,-0.890476237,6
-0.399068256,1.621654819,-1.272610907,0.770281451,0.179637349,-0.836294497,-0.9749444,0.723081723,1.125158444,-0.881966285,-0.077896894,3
0.540346722,-0.664164365,1.034294869,3.338474966,1.032985061,-1.148746697,-1.026188455,-0.134409084,-0.506533822,-0.23717965,1.2904898,7
-0.750902823,1.369436991,-1.228422462,3.037980127,0.979376611,-0.94044523,-0.917282351,0.191484665,0.597762954,-0.637923966,0.274598749,4
-0.985963401,0.91656635,-1.272610907,-0.760482768,-0.042507862,-0.836294497,-0.952156166,-0.215490569,1.400974991,-0.253598592,-0.637592205,3
-0.110351889,-1.269109421,0.628608704,0.121071831,-1.615948985,-1.044595964,-1.023634906,-1.545760745,-0.022886989,0.317510513,1.841705389,7
-0.474247894,-0.290248795,0.087961791,-0.058557612,0.434309245,-0.94044523,-0.875473563,-0.790899981,-0.081413109,-0.291269943,0.695951804,6
1.22393346,-1.36638442,1.045401837,-0.69131003,-0.790028401,-0.836294497,-1.026188455,0.38894067,-0.016264105,1.564018009,0.167142457,6
0.653643991,1.165785293,-0.300630439,0.612351672,1.053019573,0.27724463,2.279703052,1.668824577,0.009496233,1.124302365,-0.170058559,4
-0.40347118,0.810451629,-1.21683046,0.711607127,0.174166501,-0.035330459,-0.384307045,0.216879638,0.334293702,-1.32494042,-0.522228128,4
0.860037456,1.862022454,0.239136535,-0.058557612,-0.055425813,2.184076779,4.324190217,0.792850082,-0.537456136,-1.330231196,-1.154880911,5
-1.598822733,0.427570658,-1.258948604,-1.093463021,-0.230456009,-0.836294497,-0.913152286,-0.597814227,2.022853224,-0.309300306,-0.559349845,4
-1.626585241,0.158141049,-1.373394069,-1.482250554,-0.973679048,-0.315540828,-0.72475867,-2.443739811,0.765523941,-0.736539051,1.312896042,6
1.527180131,-0.783477623,0.995010256,-0.849498135,2.393249479,-0.836294497,-0.875473563,0.899142032,-0.211711117,0.673479792,-0.802341346,6
-0.442703585,-0.511197596,0.239947224,-0.291386199,-0.238584038,-0.163084727,-0.631622656,-1.724887553,-0.733951252,0.37723067,1.362989544,8
-0.474247894,-0.245409811,-0.163996116,0.099630493,0.740393657,-0.627993029,0.02881579,0.792850082,0.895821949,0.00557613,-0.978611128,6
-0.656195896,0.38233597,-1.373394069,-1.798626763,-0.851245283,0.101062106,-0.611722501,-1.014113077,0.374629918,-1.404442714,-0.626071564,7
-0.613409134,-1.003351025,0.326360285,-0.988415789,-1.043910793,-1.110683818,-0.917742302,-0.324452994,-0.572516844,2.900225058,-0.443549721,8
-0.651306383,-0.876770484,0.161517893,-0.704063061,-0.806827864,0.21360941,-0.412083615,-1.102528923,-0.632553505,0.50710809,0.567302158,8
-0.245409188,1.25066746,-1.309451959,0.719079545,-0.11716181,-0.94044523,-0.885605545,0.144825998,0.076256703,-0.608071835,0.255277348,4
