fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
1.455196408,-0.525744694,0.163196752,-0.723340999,-0.48416442,-0.910375048,0.436437398,-0.087171745,-1.277146263,0.714535125,-0.23500213,4
-1.248029986,-0.117341645,-2.019295552,0.688769264,-0.784726078,-0.080958395,0.3117929,0.705467834,0.479272219,-0.34264795,-1.043259698,6
1.424327703,2.107497146,0.247944083,0.114548908,2.006807124,0.331171159,1.098047723,1.233522662,0.14410923,-0.475154248,-1.301680878,3
-3.550898352,0.215523015,-3.21926686,1.258168564,-0.435886983,-0.700318075,-0.348040402,-0.355737522,3.853708548,-0.34264795,1.184050724,6
-1.357690384,0.326477901,-0.619329026,-0.290597531,-0.784726078,0.910017093,-0.324474927,-1.445819215,-0.382285993,0.928363233,1.64487357,8
-1.138369587,-0.450206306,0.580642282,0.028266076,0.959469397,1.529376772,0.54744765,0.185693782,-0.382285993,3.959236053,-0.275221622,6
-1.708509998,0.058825076,-0.353458054,-0.732412482,-0.870717068,0.26512325,0.532481378,-1.758455152,0.593265911,0.790285748,1.941176453,8
0.616196787,0.613949908,1.67664085,1.470140705,2.524532922,1.450373152,0.971626201,1.566128377,-1.999134677,0.395627562,-1.469608283,5
1.810566332,0.714255215,0.684029818,-0.978277464,-0.504767877,-1.629357594,-1.919418332,-0.131750059,-1.635439653,-0.390373463,-0.599880538,3
-1.328131668,-0.550394441,0.978476387,-0.478576167,-1.042594248,-1.620676349,-0.469170828,-0.782441837,2.248639739,-0.452013673,0.652220713,3
-1.043626558,-0.61832467,0.971515529,0.117985579,2.105059812,0.260630588,1.260482317,0.237601236,-0.796752465,-0.046366311,-0.742435457,5
1.691754462,-0.257099991,1.184466296,0.647634151,-0.591014717,-0.156595318,-0.179678219,0.647969968,0.221747746,-0.248630717,0.146423852,9
-0.370746798,-0.117341645,-0.019343372,0.75709718,0.610630302,0.042913541,-0.418736827,0.391437678,0.263882666,0.63505296,0.108797416,7
-1.867516239,-0.620569433,-0.639099595,0.885944909,0.723555083,1.429995608,0.716715133,1.259249982,0.920225462,-0.001178648,-1.357057437,3
0.369736734,-0.542854777,0.287892597,-0.810687086,-0.864741494,-0.246328703,0.190551681,-1.05982335,0.532577811,3.92E-05,1.286198208,9
-0.151426001,-0.339251419,-0.119340981,1.599808144,0.872259623,1.715184676,1.042322626,1.636729678,1.269033913,-0.929268495,-0.736044468,5
-0.102242761,0.521478325,0.317027356,-0.415524883,-1.731864757,1.23019103,-0.261920729,-1.282622342,0.624177165,-0.993257545,1.448909041,9
-0.465956481,0.741054849,-0.466621888,-0.901947157,-1.718750661,-0.441147774,-1.014049011,-1.371054408,1.405058046,1.270484979,1.194171697,9
0.287215592,-1.115935626,1.480620763,2.271699317,1.482728039,1.157760964,0.123269099,2.286447243,1.484423466,-1.124808677,-1.350474929,7
-1.170689929,-0.776646324,-0.213809168,-0.101795749,0.985172839,0.483799403,1.659179976,1.000651914,2.929417192,1.923557641,-0.740491653,4
-0.2610864,-1.004980739,-0.919321853,0.142145936,0.959469397,-0.576446139,-0.536564202,0.012435765,-0.884861617,0.63505296,-0.044810199,5
-0.151426001,-0.450206306,-1.019319462,-0.450029335,1.395518266,-1.13386985,-1.031439178,0.265103707,-1.602826793,0.048432414,-1.043259698,4
0.674870122,-0.574058428,-0.860804899,1.881516613,1.86302265,0.534801611,1.641140806,1.254797078,-1.083560123,0.03706776,-0.731580686,3
1.444317758,-1.291931845,1.26337896,0.590593254,0.484323225,-0.514510171,-0.48211964,0.421309122,-2.04349984,-1.016916593,-0.299057903,4
-0.2610864,0.104568128,-0.719326635,1.372048424,-1.133565173,-0.576446139,-0.748653478,-0.117507749,-1.818216346,-0.929268495,0.64642407,6
0.537049777,0.485323533,0.294561796,0.10260708,-1.58257536,1.078738127,-0.196588021,-0.581441774,0.315360678,-0.845797125,0.910350475,9
0.429020466,0.439038761,0.011416051,-0.225566235,-1.339018198,-0.370391342,-0.726566056,-0.497166787,0.912476103,0.8329517,0.67449571,9
-0.590067595,-0.561161192,-1.019319462,-0.905548775,0.436210754,-1.009997914,-1.620576055,-0.240232178,-0.16689644,-0.831498404,-0.812848275,5
-1.248029986,0.770297448,-3.019271642,0.028266076,0.436210754,-0.638382107,-0.984308228,-0.023659656,0.048493113,0.341742687,-0.505633045,5
-1.357690384,-0.228296532,-0.819324244,-0.472805307,2.616455098,-0.328702267,-1.408486779,-1.272561198,-0.813065099,-0.929268495,0.492816455,6
-0.019300046,-0.749649556,-0.517928295,1.479025212,1.10394888,0.485793375,1.666003093,0.969183899,-0.856317648,-0.117657832,-0.670807936,3
0.067894795,-0.894025852,0.280649455,-0.723340999,-1.307984721,-0.514510171,-0.677957052,-1.142617685,-0.454082511,-0.929268495,0.416012647,7
-0.881897999,-0.292154183,0.479010598,-0.90517659,-0.833492643,-1.526468349,-1.57623464,-1.387830607,0.527918722,-1.298799692,1.013515047,4
-0.672355284,-0.69964035,-0.894670341,-0.84855602,0.305598361,-0.065498344,0.093821365,-0.836001952,-0.239359035,0.63505296,0.300985069,7
-0.480407197,-0.894025852,-0.519331417,-0.051449826,-1.0463554,0.724209189,-0.536564202,-0.846635238,-2.033605899,-0.440418041,0.492816455,7
-1.467350782,-0.394728862,3.080582507,-0.996652663,3.314133288,-0.886125978,0.193965525,-0.142774543,-0.095099923,-0.538188132,-1.120063506,5
2.116055364,0.359368152,0.787204148,-0.97357756,-0.477773802,-1.629357594,-1.977772178,-0.081845647,-1.753963408,-0.652651188,-0.663275505,3
-0.699727994,-1.226890512,3.980560988,1.44037634,0.436210754,1.405504836,0.924495251,1.564538837,2.633167748,2.003834234,-0.582436852,5
-0.699727994,1.325071881,-3.319264469,0.119369964,0.610630302,-0.700318075,-1.384921304,0.055750269,-0.16689644,-0.538188132,-0.65924066,5
-0.727446215,-0.572730303,-0.320441847,0.338242431,-1.089478158,-0.978687525,-1.069635366,-0.335003758,-0.679339694,0.374487777,0.274659259,8
-0.699727994,-1.337845399,-0.21933859,-0.723340999,0.610630302,0.600337253,1.678590453,0.120722025,2.058795607,0.243972596,-0.889652083,6
-0.161826553,0.125614777,0.642703489,-0.826147453,-1.186645856,-0.200667031,-0.648055347,-1.240916208,1.245762839,0.240101335,1.407177822,9
1.626324889,-0.044270554,1.854609185,-0.923509427,0.514201537,-1.375066439,-1.363846948,0.203592409,-1.036044299,1.049180052,-0.216522292,4
-0.383695612,1.458054027,-0.774602072,-0.553151553,0.418897481,-0.204830331,-1.089109373,-0.902374018,0.972469285,0.451057572,0.997057527,8
-0.586597032,-0.783070966,-0.196413621,0.364684147,-1.103575236,-1.02064727,-1.069115741,-0.139078621,-0.647054715,0.63756228,0.014385939,8
-0.91904879,-0.339251419,-0.21933859,2.214759387,-0.871935852,2.024864516,1.325108327,1.763063649,0.694661772,1.319443597,-1.120063506,5
0.024545327,-0.33690266,-0.990143914,-0.529771417,1.306462384,-1.147422793,-1.021125897,0.286166283,-1.34098269,-0.108458615,-1.043259698,4
1.724348053,-0.032783829,0.767377041,0.742955154,-0.762141519,-0.253335604,-0.292325289,0.756347329,0.200094883,0.140025369,-0.051280175,9
-1.028709189,1.879846315,-0.21933859,0.142145936,1.04667917,-1.319677754,-0.819349903,0.687420124,0.981847842,-0.049337677,-0.582436852,5
-1.028709189,0.770297448,-0.819324244,0.58627739,-0.523096757,-1.071933882,-0.960742753,-1.139008143,-1.10025117,-2.004739496,1.64487357,7
1.223130747,0.100379542,-0.219954934,1.551676796,0.77188105,-0.507495856,0.224793088,1.721723548,-0.531299717,-0.297152452,-0.783381178,4
-0.91904879,0.881252335,-1.019319462,0.119369964,-0.784726078,-0.762254043,-1.007873703,-1.48913372,-1.243844205,-2.102509587,1.9520888,8
0.00846153,-0.247623347,1.675447694,0.91446735,0.994358242,1.525379773,0.839963698,1.408557582,-0.117795182,0.014372004,-1.535795365,4
-0.041765603,0.770297448,-0.21933859,1.076474412,0.34900098,0.283154872,0.105412777,0.015608069,-0.884861617,-1.41811895,0.603370396,8
